fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,May,16,KERALA,1614,THIRUVANANTHAPURAM,1279645,346.071084125729,12,104,0,1486,0,24348,1278717,206333,56586,31348,7800,11.5169,4436.7866848,99462,105675,216481,330209,0,400658,571472,25834,4425.2697848,1113631,49,78.98,86.81,100,NA
2025-2026,May,16,KERALA,1609,IDUKKI,520219,361.758288523581,14,53,8.4921,2907,0,11540,799082,110887,27383,116903,24336,25.37107,2924.6085371,53552,65710,125009,228696,1,215870,369626,14447,2890.7453671,594890,33,67.02,88.91,100.01,NA
2025-2026,May,16,KERALA,1601,KASARGOD,433892,372.664448725907,9,31,3.108,1078,0,13006,248098,17418,9581,33701,23865,17.20585,944.886894,25000,27086,99889,154658,1,174072,250985,14084,924.573044,219408,53,61.58,72.87,100,NA
2025-2026,May,16,KERALA,1603,WAYANAD,408036,403.221107467862,14,49,205.636221935,862,0,9386,514498,27580,6492,207043,47334,8.42379,2288.624545435,35668,39184,81471,141025,1,159951,263145,10248,2074.5645335,447786,41,53.33,82.36,100.01,NA
2025-2026,May,16,KERALA,1613,KOLLAM,951352,364.054439512255,15,210,0,2232,0,20783,1494716,298315,58963,15978,2406,7.14863,5448.7285861,96352,102397,190847,304102,1,409986,597708,23015,5441.5799561,1299809,39,75.11,89.85,100.01,NA
2025-2026,May,16,KERALA,1602,KANNUR,551394,361.824228157058,12,55,0,1531,1,15436,548026,25769,8016,37906,13457,9.8559,1992.7467446,43790,45813,120112,178220,0,268301,370404,16967,1982.8908446,512635,40,58.21,86.72,100,NA
2025-2026,May,16,KERALA,1609,IDUKKI,520219,384.521773422499,15,53,8.4921,3060,0,11488,836941,113613,27390,121159,24344,25.37107,3252.0835457,54831,67411,125055,228783,1,215882,369592,14548,3218.2203757,622854,34,66.73,89.05,100.01,NA
2025-2026,May,16,KERALA,1612,PATHANAMTHITTA,296220,361.150815833679,15,58,0,958,0,8505,496486,144028,33015,6676,2086,5.84513,1798.9083695,31359,33934,62307,109139,1,165670,258413,9463,1793.0632395,439463,44,68.37,91.43,100,NA
2025-2026,May,16,KERALA,1602,KANNUR,551394,362.284143602999,13,56,0,1568,1,15564,601993,28656,8032,43003,13460,9.8559,2190.7810846,46263,48406,120202,178374,1,268428,370592,17132,2180.9251846,563307,40,58.2,86.99,100,NA
2025-2026,May,16,KERALA,1609,IDUKKI,520219,372.856689617738,15,55,8.4921,3237,0,11499,911940,120862,27405,140215,24349,25.37107,3434.0924653,57307,70404,125136,228854,1,215921,369343,14736,3400.2292953,678487,33,67,89.49,100.01,NA
2025-2026,May,16,KERALA,1611,ALAPPUZHA,1028199,385.903473703762,12,232,4.4376276,2224,0,21907,1103675,166238,43382,6221,1135,7.35,4270.907791,86623,91927,172283,274249,1,267224,399131,24131,4259.1201634,1014025,32,65.96,83.36,100,NA
2025-2026,May,16,KERALA,1614,THIRUVANANTHAPURAM,1279645,349.802885047684,14,118,0,1603,0,24843,1618358,259026,56646,41582,7815,16.45212,5677.5150944,110249,117195,216757,330661,0,401046,572043,26446,5661.0629744,1411701,48,79.8,87.44,100,NA
2025-2026,June,16,KERALA,1603,WAYANAD,870477,403.221107467862,14,49,205.636221935,862,0,9386,514498,27580,6492,207043,47334,8.42379,2288.624545435,35668,39184,81471,141025,1,159951,263145,10248,2074.5645335,447786,41,53.33,82.36,100.01,NA
2025-2026,June,16,KERALA,1612,PATHANAMTHITTA,631935,364.18441314338,17,63,0,1076,0,8504,543361,156709,33043,7031,2087,5.84513,1984.6811991,31847,34530,62340,109218,1,165761,258560,9580,1978.8360691,480424,43,68.49,91.29,100,NA
2025-2026,May,16,KERALA,1601,KASARGOD,433892,391.956619685988,10,26,3.108,1034,0,12883,209164,15075,9580,28115,23862,17.20585,840.145994,20475,22212,99840,154584,1,173931,250813,13917,819.832144,184470,53,60.24,70.53,100,NA
2025-2026,May,16,KERALA,1605,MALAPPURAM,557518,375.629211689375,13,130,5.3747049,2882,0,19027,567695,172096,58016,23808,5598,6.40245,2144.2054082,42112,45692,135328,220498,0,433791,624776,21909,2132.4282533,472230,66,40.31,73.12,100,NA
2025-2026,May,16,KERALA,1610,KOTTAYAM,339609,368.75376279402,15,21,0,1146,0,10781,576832,81287,18781,18420,4172,6.74722,2133.836925,36804,38767,79244,121307,1,211184,295867,11927,2127.089705,533618,51,72.45,86.35,100,NA
2025-2026,May,16,KERALA,1601,KASARGOD,433892,393.281286205338,10,27,3.108,1042,0,12945,219063,15708,9580,29318,23864,17.20585,881.847634,21449,23256,99857,154610,1,173972,250865,13987,861.533784,193440,53,60.6,71.06,100,NA
2025-2026,May,16,KERALA,1607,THRISSUR,457256,343.292781634344,15,108,2.2459003,1423,0,15185,674607,215650,46932,6526,2438,15.2468,2333.3698357,42941,45360,143910,190500,8,355033,435513,16608,2315.8771354,601414,50,46.61,84.01,100,NA
2025-2026,May,16,KERALA,1613,KOLLAM,951352,360.993370662653,14,209,0,2209,0,20695,1423278,284359,58947,14937,2406,7.14863,5145.0878561,95368,101301,190802,304015,1,409862,597540,22904,5137.9392261,1237694,39,75.14,89.73,100.01,NA
2025-2026,May,16,KERALA,1614,THIRUVANANTHAPURAM,1279645,349.758019460375,14,117,0,1588,0,24761,1577873,253360,56644,39912,7814,11.5169,5530.2542544,109121,115989,216729,330626,0,400979,571965,26349,5518.7373544,1375984,49,79.88,87.59,100,NA
2025-2026,June,16,KERALA,1604,KOZHIKODE,2168069,359.364825824363,13,121,0,1845,0,21343,1164141,134185,36511,19168,3968,42.37973,4225.893007,89210,94864,184202,294458,2,361621,535704,23188,4183.513277,1053990,36,62.3,87.99,100,NA
2025-2026,June,16,KERALA,1610,KOTTAYAM,724500,370.390312310164,17,22,0,1276,0,11004,648586,90605,18800,21332,4182,9.88328,2412.182991,37829,39902,79333,121460,1,211391,296204,12280,2402.299711,600120,50,71.54,85.58,100,NA
2025-2026,June,16,KERALA,1613,KOLLAM,2029552,352.387693992806,17,214,0,2810,0,20570,1688542,335989,59043,17486,2410,12.02877,5962.2429859,99113,105494,191100,304511,1,410598,598519,23380,5950.2142159,1468520,39,74.42,89.65,100.01,NA
2025-2026,June,16,KERALA,1607,THRISSUR,975481,354.888859990836,16,112,2.2459003,1461,0,15266,718003,229594,46953,7272,2437,15.2468,2565.6053617,44048,46558,143993,190629,8,355158,435693,16727,2548.1126614,640224,50,46.85,83.79,100,NA
2025-2026,June,16,KERALA,1608,ERNAKULAM,897618,359.872106449765,16,65,0,1131,0,13474,699917,138890,30074,10696,2778,14.65156,2533.4576113,43394,45658,98881,152502,2,274673,386212,14605,2518.8060513,630399,49,61.63,74.29,100.01,NA
2025-2026,June,16,KERALA,1604,KOZHIKODE,2168069,362.728671404068,12,118,0,1782,0,21353,1122275,129464,36505,18200,3968,42.37973,4113.192927,87924,93459,184158,294382,2,361529,535573,23135,4070.813197,1016275,36,61.63,87.76,100,NA
2025-2026,June,16,KERALA,1608,ERNAKULAM,897618,360.649416530766,16,65,0,1142,0,13583,714982,141615,30081,10759,2777,17.73461,2596.3130213,43584,45870,98906,152534,2,274725,386272,14725,2578.5784113,643901,48,61.73,74.27,100.01,NA
2025-2026,June,16,KERALA,1601,KASARGOD,925636,377.919453229606,9,36,3.108,1155,0,13157,295005,19976,9601,40415,23882,19.11085,1137.100133,29776,32236,99989,154831,1,174351,251340,14312,1114.881283,261222,52,61.77,74.95,100,NA
2025-2026,June,16,KERALA,1604,KOZHIKODE,2168069,358.92726313396,13,123,0,1876,0,21389,1200647,137048,36514,19933,3968,42.37973,4351.829147,90147,95913,184208,294479,2,361740,535865,23265,4309.449417,1087229,36,62.81,88.13,100,NA
2025-2026,June,16,KERALA,1604,KOZHIKODE,2168069,350.048296809941,13,126,0,1965,0,21364,1241670,141905,36513,20168,3968,42.37973,4388.824417,91077,96921,184246,294536,2,361828,535974,23329,4346.444687,1124975,36,63.38,88.37,100,NA
2025-2026,June,16,KERALA,1605,MALAPPURAM,1189371,364.03538679464,15,139,6.4457049,3352,0,19210,711605,216122,58118,32822,5612,11.23905,2608.1787691,46859,51014,135699,221115,0,434861,626139,22562,2590.4940142,593592,66,40.77,72.96,100,NA
2025-2026,June,16,KERALA,1606,PALAKKAD,1577853,434.060088375207,9,83,9.762,3345,0,32803,566109,203683,82073,20166,20721,13.63578,2480.6510057,58736,62966,201897,292000,0,421586,572361,36148,2457.2532257,504549,60,70.09,77.59,100.01,NA
2025-2026,June,16,KERALA,1607,THRISSUR,975481,349.311754226301,17,113,2.2459003,1745,0,15217,779050,248489,46998,7872,2437,21.51037,2745.0694916,45295,47932,144141,190889,8,355483,436110,16962,2721.3132213,694601,50,47.86,83.98,100,NA
2025-2026,June,16,KERALA,1614,THIRUVANANTHAPURAM,2729909,349.13836694309,15,126,0,2069,0,24966,1858141,299532,56698,50228,7819,21.16205,6508.6451929,119695,127299,217004,331055,1,401569,572741,27035,6487.4831429,1623094,48,79.77,87.65,100,NA
2025-2026,June,16,KERALA,1602,KANNUR,1176306,362.749519389619,15,62,0.54283,1998,0,15819,777220,35152,8046,62189,13482,15.73266,2835.6373046,51541,54134,120484,178870,4,269007,371437,17817,2819.3618146,725279,40,61.14,87.47,100,NA
2025-2026,June,16,KERALA,1604,KOZHIKODE,2168069,364.262406217329,15,138,4.99998424,2125,0,21599,1464423,167666,36533,24556,3969,43.92633,5383.26877124,95941,102279,184386,294789,2,361976,536189,23724,5334.342457,1326571,36,66.22,89.27,100,NA
2025-2026,June,16,KERALA,1605,MALAPPURAM,1189371,370.662480571047,16,143,11.5485447,3545,0,19348,801896,242008,58148,40034,5622,11.23905,2995.1151999,48956,53381,135906,221468,2,435207,626583,22893,2972.3276052,670030,66,42.26,72.72,100,NA
2025-2026,June,16,KERALA,1609,IDUKKI,1109798,376.828278491914,17,61,20.0950101,3499,0,11991,1135638,143438,27463,177277,24373,37.35117,4336.8513054,63829,78885,125453,229426,3,216186,369774,15490,4279.4051253,845673,33,66.34,89.03,100.01,NA
2025-2026,June,16,KERALA,1614,THIRUVANANTHAPURAM,2729909,351.213003285646,17,130,0.6781037,2201,0,25364,2132914,343424,56747,58125,7824,27.98007,7519.7294906,124002,132042,217197,331422,2,401876,573234,27565,7491.0713169,1864852,48,79.99,87.94,100,NA
2025-2026,June,16,KERALA,1604,KOZHIKODE,2168069,359.58747568844,14,132,0,2018,0,21506,1334756,151757,36527,21692,3968,42.37973,4841.995137,93438,99506,184325,294678,2,361922,536101,23524,4799.615407,1209564,36,64.7,88.86,100,NA
2025-2026,June,16,KERALA,1607,THRISSUR,975481,359.151178169664,17,116,2.9459003,1847,0,15221,808398,256740,47012,8453,2437,21.51037,2927.8272116,45821,48526,144230,191016,9,355603,436277,17068,2903.3709413,720426,50,48.53,83.78,100,NA
2025-2026,June,16,KERALA,1608,ERNAKULAM,897618,362.723909660934,18,67,0,1414,0,13601,806185,158751,30094,13990,2779,17.73461,2941.9603611,44710,47145,99023,152722,3,274909,386507,15015,2924.2257511,725257,48,62.6,74.93,100.01,NA
2025-2026,June,16,KERALA,1601,KASARGOD,925636,372.885653142368,11,42,4.989,1517,0,13013,371726,24177,9623,55698,23897,23.48882,1414.590743,33240,36062,100105,155043,2,174626,251751,14530,1386.112923,329433,52,62.54,77.36,100,NA
2025-2026,June,16,KERALA,1605,MALAPPURAM,1189371,373.073949364019,16,140,11.5485447,3512,0,19340,783435,236827,58147,37923,5615,11.23905,2945.5794899,48429,52813,135883,221434,2,435185,626570,22852,2922.7918952,654076,66,41.86,72.65,100,NA
2025-2026,June,16,KERALA,1607,THRISSUR,975481,353.140884780242,18,122,5.4578428,1922,0,15246,850618,269235,47028,9407,2438,21.51037,3030.8481441,46594,49367,144291,191115,9,355668,436372,17168,3003.8799313,758088,50,49.68,84.18,100,NA
2025-2026,June,16,KERALA,1612,PATHANAMTHITTA,631935,364.898969546626,18,68,0,1167,0,8639,609916,175829,33090,7959,2093,9.58131,2235.1585091,33330,36182,62412,109378,1,166001,258934,9806,2225.5771991,538278,43,68.74,91.03,100,NA
2025-2026,June,16,KERALA,1604,KOZHIKODE,2168069,356.426844539861,13,129,0,2009,0,21367,1277202,146295,36522,20561,3968,42.37973,4594.670517,91954,97851,184286,294611,2,361894,536063,23376,4552.290787,1157223,36,64,88.58,100,NA
2025-2026,June,16,KERALA,1609,IDUKKI,1109798,370.074629596428,17,58,18.1638,3448,0,11776,1054161,137318,27445,163872,24377,29.80599,3949.1522061,61703,75979,125331,229223,1,216109,369662,15224,3901.1824161,785160,33,66.76,89.28,100.01,NA
2025-2026,June,16,KERALA,1612,PATHANAMTHITTA,631935,362.786974425787,17,66,0,1153,0,8549,584104,168421,33087,7544,2093,5.84513,2124.8983591,32722,35509,62401,109357,1,165957,258877,9702,2119.0532291,515697,43,68.68,90.97,100,NA
2025-2026,June,16,KERALA,1601,KASARGOD,925636,371.215327911018,10,41,4.989,1478,0,13005,359625,23198,9616,53903,23895,23.48882,1363.460943,32719,35487,100092,155017,1,174592,251700,14483,1334.983123,318484,52,62.05,77.03,100,NA
2025-2026,June,16,KERALA,1605,MALAPPURAM,1189371,369.04465149023,15,140,11.5485447,3479,0,19286,768472,231377,58138,37003,5615,11.23905,2858.7924089,48133,52482,135861,221389,1,435118,626475,22765,2836.0048142,641533,66,41.82,72.85,100,NA
2025-2026,June,16,KERALA,1609,IDUKKI,1109798,380.794858623087,17,59,20.0950101,3469,0,11916,1088827,139372,27446,169382,24376,37.35117,4203.6434154,62754,77461,125414,229371,2,216160,369742,15385,4146.1972353,810907,33,66.21,88.83,100.01,NA
2025-2026,June,16,KERALA,1602,KANNUR,1176306,365.15594925689,15,65,1.83883,2263,0,15707,847721,37994,8051,69039,13491,44.40323,3141.7457246,53296,56023,120607,179074,4,269153,371658,17970,3095.5036646,790410,40,62.18,87.87,100,NA
2025-2026,June,16,KERALA,1603,WAYANAD,870477,389.55869840694,18,53,220.660937101,1118,0,10004,766261,38105,6514,314056,47428,13.65157,3219.348885101,40364,44850,81710,141462,4,160534,263950,11122,2985.036378,665116,41,50.69,83.4,100.01,NA
2025-2026,June,16,KERALA,1606,PALAKKAD,1577853,413.155094437999,10,102,19.1638331,3785,0,33494,757587,264980,82260,34896,20731,16.43063,3165.6037484,69745,75090,202363,292810,0,422183,573283,37279,3130.0092853,673743,60,70.39,77.92,100,NA
2025-2026,June,16,KERALA,1613,KOLLAM,2029552,364.91754667312,19,229,5.2477829,3272,0,20810,1987493,395969,59121,20123,2411,13.35502,7271.3134988,102356,109251,191409,305008,1,410913,598950,24082,7252.7106959,1726446,39,74.21,90.11,100,NA
2025-2026,June,16,KERALA,1609,IDUKKI,1109798,380.38365419979,18,61,20.0950101,3545,0,14299,1192012,148392,27483,185574,24381,37.35117,4591.6649842,64807,80247,125531,229590,5,216231,369866,17844,4534.2188041,887216,33,65.86,88.42,100,NA
2025-2026,June,16,KERALA,1610,KOTTAYAM,724500,368.32129482775,19,24,0,1584,0,11129,759128,104938,18822,25954,4182,19.29321,2815.323289,38796,41038,79451,121651,3,211832,296867,12713,2796.030079,700836,50,71.43,85.61,100,NA
2025-2026,June,16,KERALA,1605,MALAPPURAM,1189371,369.79398657594,16,143,18.024187,3585,0,19392,821808,248069,58157,41913,5626,11.23905,3068.2598022,49499,53986,135958,221539,3,435238,626585,22977,3038.9965652,687352,66,42.72,72.78,100,NA
2025-2026,June,16,KERALA,1607,THRISSUR,975481,358.957533391577,18,122,7.8836861,1966,0,15291,881360,279810,47044,10383,2438,21.51037,3193.1021724,47181,50027,144394,191270,9,355723,436470,17257,3163.7081163,785016,50,50.43,84.05,100,NA
2025-2026,June,16,KERALA,1612,PATHANAMTHITTA,631935,362.897982535244,18,70,0,1172,0,9106,637627,184167,33115,8318,2095,9.58131,2323.5168291,33837,36761,62449,109452,3,166045,259014,10278,2313.9355191,562875,42,69.16,91.17,100,NA
2025-2026,June,16,KERALA,1613,KOLLAM,2029552,368.068611730872,18,222,0.7445,2998,0,20743,1865863,371427,59097,18903,2410,13.35502,6881.7555609,101053,107738,191320,304863,1,410831,598839,23741,6867.6560409,1621960,39,74.41,89.93,100.01,NA
2025-2026,June,16,KERALA,1605,MALAPPURAM,1189371,370.756607693607,16,143,22.5634687,3645,0,19440,834901,252601,58161,42077,5626,11.23905,3129.2531439,49748,54264,135977,221576,3,435279,626653,23085,3095.4506252,698632,66,42.97,72.75,100,NA
2025-2026,June,16,KERALA,1606,PALAKKAD,1577853,417.324641868576,10,94,13.5743331,3734,0,33077,703038,248500,82222,31976,20732,16.43063,2963.9557788,66732,71764,202268,292658,0,422076,573125,36811,2933.9508157,624799,60,69.74,77.29,100,NA
2025-2026,June,16,KERALA,1602,KANNUR,1176306,369.16102697164,15,63,0.54283,2045,0,15783,786604,35695,8046,62641,13483,15.73266,2920.1108946,51748,54364,120513,178916,4,269037,371481,17828,2903.8354046,734009,40,61.29,87.51,100,NA
2025-2026,June,16,KERALA,1603,WAYANAD,870477,401.198785821711,17,53,208.889821935,999,0,9747,680872,34901,6511,277833,47404,13.65157,2954.191588935,39225,43468,81654,141360,3,160489,263864,10746,2731.650197,591350,42,51.47,82.49,100.01,NA
2025-2026,June,16,KERALA,1608,ERNAKULAM,897618,361.049676677747,19,68,0.65,1535,0,13857,887783,174652,30111,16691,2777,19.91246,3225.9001111,45444,47940,99097,152830,3,274989,386610,15392,3205.3376511,798873,48,63.25,75.19,100.01,NA
2025-2026,June,16,KERALA,1601,KASARGOD,925636,384.819368005877,13,55,4.989,2127,0,12871,528122,33211,9635,83681,23978,24.22622,2061.5309627,39697,43270,100359,155467,3,174853,252098,14998,2032.3157427,469471,52,64.08,80.38,100,NA
2025-2026,June,16,KERALA,1610,KOTTAYAM,724500,369.700621420018,21,24,4.9708417,1805,0,11576,840961,115452,18841,29058,4184,19.29321,3133.3020946,39496,41811,79525,121776,6,211949,297044,13381,3109.0380429,776768,51,71.82,85.8,100,NA
2025-2026,June,16,KERALA,1608,ERNAKULAM,897618,349.971620928532,21,71,0.65,1576,0,14139,985793,194340,30132,17777,2777,19.91246,3470.5582011,46315,48912,99181,152963,4,275093,386754,15715,3449.9957411,887306,47,63.78,75.39,100.01,NA
2025-2026,June,16,KERALA,1609,IDUKKI,1109798,373.327878622844,19,63,20.0950101,3732,0,14806,1244913,154632,27490,190725,24391,37.35117,4705.0534737,65400,81035,125563,229653,6,216265,369921,18538,4647.6072936,927276,33,65.82,88.34,100,NA
2025-2026,June,16,KERALA,1614,THIRUVANANTHAPURAM,2729909,351.061571504654,19,132,0.6781037,2329,0,26477,2420311,392345,56790,67020,7826,27.98007,8525.4400056,126893,135281,217348,331674,3,402051,573500,28806,8496.7818319,2119733,48,80.68,88.29,100,NA
2025-2026,June,16,KERALA,1602,KANNUR,1176306,371.22937118877,16,65,1.83883,2378,0,15816,929818,40662,8058,76107,13503,44.40323,3497.9995746,55546,58446,120790,179388,4,269408,372029,18194,3451.7575146,867353,40,63.13,87.93,100,NA
2025-2026,June,16,KERALA,1608,ERNAKULAM,897618,357.080090828907,23,73,0.65,1660,0,14315,1085007,212864,30144,19743,2779,20.54108,3895.5350611,46999,49679,99283,153100,5,275181,386863,15975,3874.3439811,976723,47,64.29,75.71,100.01,NA
2025-2026,June,16,KERALA,1609,IDUKKI,1109798,376.167959679977,20,65,20.0950101,4182,0,15128,1361904,165569,27507,210825,24398,37.94461,5181.0861097,66769,82980,125648,229806,10,216317,370003,19310,5123.0464896,1013438,33,65.9,88.68,100,NA
2025-2026,June,16,KERALA,1609,IDUKKI,1109798,383.576985190766,19,64,20.0950101,4094,0,15045,1294125,160971,27497,199617,24393,37.94461,5022.0052797,66018,81912,125600,229722,6,216300,369978,19139,4963.9656596,962881,33,66.52,88.51,100,NA
2025-2026,June,16,KERALA,1611,ALAPPUZHA,2193493,384.725336520202,16,259,8.8205089,2964,0,22341,1611404,236816,43444,8928,1137,45.84316,6254.1431306,98466,104816,172577,274720,7,267930,400044,25305,6199.4794617,1482361,32,64.81,82.33,100,NA
2025-2026,June,16,KERALA,1601,KASARGOD,925636,393.790992444999,12,51,4.989,1948,0,12937,490536,31061,9631,76036,23939,23.48882,1960.1644027,38364,41752,100274,155320,2,174804,251996,14885,1931.6865827,436232,52,63.72,79.41,100,NA
2025-2026,June,16,KERALA,1611,ALAPPUZHA,2193493,382.785301273228,16,258,8.8205089,2944,0,22286,1569240,232049,43443,8557,1137,45.84316,6061.4837306,97868,104086,172561,274696,5,267854,399950,25230,6006.8200617,1443865,32,64.84,82.39,100,NA
2025-2026,June,16,KERALA,1605,MALAPPURAM,1189371,366.490549480643,17,149,31.06666578,3930,0,19619,942126,289685,58220,46934,5626,11.23905,3495.10846998,52476,57248,136189,221924,4,435230,626672,23549,3452.8027542,791119,66,45.18,73.77,100,NA
2025-2026,June,16,KERALA,1609,IDUKKI,1109798,381.13777018188,19,63,20.0950101,3988,0,15037,1279638,159558,27497,196745,24393,37.94461,4935.2233597,65839,81673,125595,229705,6,216292,369955,19025,4877.1837396,952996,33,66.44,88.64,100,NA
2025-2026,June,16,KERALA,1613,KOLLAM,2029552,368.460222732796,20,231,7.0818309,3462,0,20714,2105258,418608,59148,22123,2412,13.35502,7777.4751668,103412,110462,191516,305181,1,411014,599107,24176,7757.0383159,1828038,39,73.95,90.09,100,NA
2025-2026,June,16,KERALA,1602,KANNUR,1176306,369.162202058511,17,65,1.83883,2407,0,15833,963998,41687,8059,78503,13508,44.40323,3604.9583046,56119,59049,120850,179503,4,269506,372197,18240,3558.7162446,899324,40,63.33,88.09,100,NA
2025-2026,June,16,KERALA,1605,MALAPPURAM,1189371,361.954044601464,19,157,31.06666578,4214,0,19635,1059741,329375,58288,51265,5624,12.15705,3878.99912758,54013,59040,136347,222198,7,435364,626877,23849,3835.7754118,892309,66,47.63,74.48,100,NA
2025-2026,June,16,KERALA,1606,PALAKKAD,1577853,422.779023474004,11,115,19.1638331,4086,0,34228,917057,314062,82395,52238,20738,16.43063,3912.7190924,78264,84468,202716,293402,1,422565,573930,38314,3877.1246293,814192,60,70.51,78.26,100.02,NA
2025-2026,June,16,KERALA,1610,KOTTAYAM,724500,367.714348695718,21,24,5.4868417,1896,0,11532,872434,119673,18843,30514,4186,19.29321,3232.8450526,39669,42005,79531,121795,8,212029,297152,13428,3208.0650009,805889,51,72.23,85.67,100,NA
2025-2026,July,16,KERALA,1601,KASARGOD,1214897,377.518677593217,15,59,4.989,2342,0,12863,638994,38665,9648,108279,24012,185.57585,2602.8865487,42390,46351,100497,155703,4,174956,252260,15205,2412.3216987,567923,52,64.9,82.3,100,NA
2025-2026,July,16,KERALA,1605,MALAPPURAM,1561050,373.023347809775,20,157,35.56547828,4404,0,19601,1111461,347369,58304,54127,5629,16.47912,4198.05363008,54624,59771,136400,222290,9,435478,627043,24005,4146.0090318,935949,65,48.16,74.29,100,NA
2025-2026,July,16,KERALA,1609,IDUKKI,1456611,375.724684780973,22,68,25.1800101,4283,0,15304,1514788,180794,27528,229474,24418,38.53805,5755.1504982,68848,85862,125763,230028,22,216393,370122,19587,5691.4324381,1126598,33,66.68,89.47,100,NA
2025-2026,July,16,KERALA,1611,ALAPPUZHA,2878961,380.817394016495,18,267,8.8205089,3146,0,22452,1830733,268157,43469,10260,1136,46.20226,7026.7724709,101270,107921,172672,274888,9,268148,400334,25598,6971.749702,1685052,32,65.87,82.28,100,NA
2025-2026,July,16,KERALA,1601,KASARGOD,1214897,370.932558980188,15,62,4.989,2441,0,13469,683577,40734,9652,118148,24016,187.4896,2728.0882587,43214,47322,100534,155771,4,174979,252301,15910,2535.6096587,607355,51,64.56,82.92,100,NA
2025-2026,July,16,KERALA,1602,KANNUR,1543903,370.970615207199,18,66,1.83883,2630,0,15855,1043177,43741,8061,88465,13516,49.4717,3921.1906646,57802,60911,120994,179736,8,269683,372466,18485,3869.8801346,971885,40,63.24,87.77,100,NA
2025-2026,July,16,KERALA,1604,KOZHIKODE,2845591,354.519675508652,21,154,5.68997874,2634,0,23166,2341141,274159,36645,39441,3980,50.14371,8355.63916514,109346,117404,184941,295651,4,362374,536758,25800,8299.8054764,2122262,35,74.06,90.1,100,NA
2025-2026,July,16,KERALA,1606,PALAKKAD,2070932,415.164010470957,12,123,19.1638331,4228,0,34669,1015953,344162,82468,63027,20750,18.48213,4255.5171824,83500,90336,202929,293745,1,422760,574255,38897,4217.8712193,901588,60,70.19,78.37,100.02,NA
2025-2026,July,16,KERALA,1610,KOTTAYAM,950905,367.212897921549,23,24,10.4163977,2157,0,11480,955471,130440,18844,34032,4186,182.53388,3701.5630256,40109,42506,79588,121884,9,212128,297289,13637,3508.6127479,882540,51,71.77,85.63,100,NA
2025-2026,July,16,KERALA,1611,ALAPPUZHA,2878961,377.240953915176,18,267,8.8205089,3170,0,22530,1885241,276449,43471,10670,1136,46.20226,7166.9239009,102270,109041,172704,274929,10,268188,400376,25700,7111.901132,1735496,32,66.27,82.54,100,NA
2025-2026,July,16,KERALA,1612,PATHANAMTHITTA,829414,361.185078918188,23,71,0,1363,0,9379,831494,239764,33175,11539,2098,10.67655,3013.9088101,35222,38466,62578,109703,8,166328,259441,10742,3003.2322601,733338,42,70.86,91.34,100,NA
2025-2026,July,16,KERALA,1603,WAYANAD,1142501,397.775046401343,25,54,220.829937101,1422,0,10624,1096520,52943,6525,457218,47537,237.85407,4820.366945901,43290,48553,81986,141962,19,160668,264205,12046,4361.6829388,950301,41,50.22,84.22,100.01,NA
2025-2026,July,16,KERALA,1611,ALAPPUZHA,2878961,379.616989666177,18,271,8.8205089,3217,0,22653,1974100,289955,43478,11408,1137,49.30862,7552.1481219,103974,110923,172767,275017,12,268265,400463,25870,7494.018993,1817387,32,66.94,82.76,100,NA
2025-2026,July,16,KERALA,1611,ALAPPUZHA,2878961,376.977409769813,19,274,8.8205089,3228,0,22707,2010192,294484,43483,11551,1138,49.30862,7636.0988619,104557,111542,172792,275055,12,268293,400501,25935,7577.969733,1851019,32,67.2,82.93,100,NA
2025-2026,July,16,KERALA,1602,KANNUR,1543903,368.304449169518,18,66,1.83883,2655,0,15858,1063358,44273,8062,90959,13517,241.951,4160.1846546,58020,61152,121024,179787,8,269695,372493,18513,3916.3948246,990569,40,63.23,87.8,100,NA
2025-2026,July,16,KERALA,1604,KOZHIKODE,2845591,358.514979999925,21,154,5.68997874,2645,0,23220,2397741,282146,36654,40074,3980,50.14371,8652.09435534,109694,117796,184964,295688,4,362390,536789,25865,8596.2606666,2174027,35,74.43,90.14,100,NA
2025-2026,July,16,KERALA,1606,PALAKKAD,2070932,414.356896338682,12,125,19.1638331,4247,0,34741,1032661,348879,82494,64241,20759,18.48213,4316.5480324,84472,91430,203010,293892,1,422794,574326,38988,4278.9020693,916081,60,70.19,78.38,100.02,NA
